,0,1,2,3
"[1, 9]",-10000,-10000,-10000,-10000
"[9, 0]",-10000,-10000,-10000,-10000
"[9, 1]",-10000,-10000,-10000,-10000
"[0, 9]",-10000,-10000,-10000,-10000
"[18, 0]",0,-10000,0,-10000
"[18, 9]",0,0,-10000,-10000
"[9, 18]",-10000,0,0,-10000
"[10, 0]",-10000,-10000,-10000,-10000
"[18, 10]",0,-10000,0,0
"[9, 9]",-10000,-10000,-10000,-10000
"[10, 18]",0,0,-10000,0
"[9, 10]",-10000,-10000,-10000,-10000
"[18, 18]",0,0,0,-10000
"[27, 9]",0,0,-10000,0
"[10, 9]",-10000,-10000,-10000,-10000
"[27, 10]",0,0,0,-10000
"[1, 18]",0,-10000,0,0
"[0, 10]",0,-10000,0,-10000
"[9, 19]",0,-10000,0,0
"[19, 1]",10000,0,0,0
"[18, 19]",0,-10000,0,0
